Y_US_all_obs,Pi_US_all_obs,R_US_all_obs
1.94E-05,-1.136734425,-0.886412892
-1.94E-05,-1.187304867,-0.897588897
0.146391334,-0.739361856,-0.80382801
-0.18496221,-1.013319296,-0.765432564
-0.414200567,-0.801729716,-0.657841047
-0.857296773,-0.577843897,-0.55200974
-1.592856799,-0.863907283,-0.520055031
-1.270332151,-0.221258016,-0.468001718
-1.608790702,0.154491914,-0.439326321
-0.673611033,-0.025941281,-0.409987445
-0.703229535,-0.057141137,-0.408480883
-1.318655611,-0.027841199,-0.391739732
-0.883795982,0.012313726,-0.335336656
-2.046133094,-0.393992572,-0.330646597
-4.109072689,0.301812146,-0.699930386
-3.132523551,-0.205239609,-0.913250073
-1.068486134,-0.933964496,-0.833556211
0.593947264,-0.772631601,-0.603783261
1.593830553,-0.703702003,-0.499761032
2.658152209,-0.704169449,-0.372923707
1.745093723,-0.36111944,-0.24932657
1.157447716,-0.272930421,-0.146385477
2.270191706,-0.785544098,-0.160551366
0.877422796,-0.277174181,-0.221507709
0.566247976,-0.819981772,-0.410343794
-1.202503697,-0.23625631,-0.56927596
-1.028733264,-0.675015636,-0.652085714
-0.013710061,-0.909853194,-0.709431631
1.04015637,-0.486005392,-0.730142134
1.971381493,-0.731703604,-0.541890568
2.608561995,-0.488205013,-0.530858313
2.391258628,-0.500446954,-0.490959569
2.464195414,-0.590319934,-0.430215121
1.737190473,-0.63426363,-0.410777817
1.750744411,-0.558681904,-0.400059902
1.77562667,-0.690683607,-0.400923842
2.703589175,-0.266697983,-0.311736397
2.166902923,-0.60555505,-0.279412826
2.93007509,-0.465804318,-0.276854666
2.697553952,-0.714820245,-0.270232616
2.880707214,-0.650626792,-0.278526064
1.934316551,-0.415886267,-0.250170925
2.909654961,-0.566766441,-0.15061164
2.745909249,-0.239613259,-0.124954
3.403844052,-0.579966522,-0.125823694
4.018859407,-0.350296727,-0.103009432
4.633282282,0.053293146,-0.006481054
3.328436871,0.025210198,0.080861835
2.599463416,-0.014809327,0.20429235
1.917798497,-0.061376606,0.241820481
1.362614542,-0.623287946,0.058540343
0.149468356,-0.271784904,-0.146447363
-0.142426039,0.123790529,-0.170527352
-0.562578905,0.211874747,-0.102985264
0.182630946,0.103509267,0.04968804
0.515838043,0.093248823,0.344483822
0.029418081,0.466357255,0.335682394
-0.727185824,0.35382242,0.329253363
-0.368206715,0.338709914,0.488623493
-1.142892812,0.691786021,0.914813038
-1.499916073,0.486729378,1.081079172
-2.801090249,0.645942003,1.071391067
-3.616535741,0.711040272,0.976863727
-4.044295436,0.514191527,0.811224127
-3.70599417,0.153738367,0.520369314
-5.121357773,0.564649171,0.23681379
-3.03201,-0.03731577,-0.180652196
-3.050492197,0.036931577,-0.007278062
-2.796062828,0.111957831,0.219811025
-3.060216434,-0.141923912,0.036175046
-1.878769493,-0.06666538,-0.25954768
-0.461931505,-0.233167429,-0.070091711
-0.359793205,-0.078484811,0.038595281
0.362023443,0.151767463,0.13828069
1.674453229,0.683202989,0.477813236
1.616948648,1.194633536,0.791438512
0.146416365,1.073580875,1.466515407
0.146484452,1.624690028,1.329492918
-1.434350331,2.053820503,1.164125333
-1.84140874,1.767238002,1.631058562
-3.218288191,1.89603086,1.834595111
-3.903834528,2.151328077,1.165606702
-5.199661039,1.240257427,0.416378197
-4.59540403,0.3212362,0.206486748
-3.167704509,1.108620463,0.389252062
-2.207651091,0.949363079,0.203475456
-0.575829741,0.264358461,0.060458228
-0.449498951,0.013317111,0.149998271
-0.495868893,0.706851644,0.173230625
-0.379259505,0.567825028,0.071368427
0.121006256,0.940531349,0.019291208
1.212985939,0.855531483,0.139738165
2.036754829,0.497716345,0.303650996
1.17871037,0.586215171,0.476251365
0.695548689,0.830420864,0.536088085
3.301371537,1.370736382,0.664031811
3.111488302,1.424298286,0.864775517
3.211463402,1.422247215,1.225966203
2.261906662,1.608761752,1.34820274
1.349527309,2.252602482,1.374033938
1.094176601,2.295346476,1.559240647
0.43338446,2.239417914,2.198187035
-0.091444257,2.991745244,2.535948774
-2.642335857,2.444795263,1.87373323
-3.133319738,0.98422648,1.283294853
-1.817437424,1.887206354,2.700397114
-0.571361033,1.853157141,2.896140228
-1.82295174,1.187240769,3.194878906
-1.211034598,1.870120157,3.149618186
-2.6631404,0.738374418,2.190262549
-4.319777602,0.008836585,2.351517528
-3.964728029,0.554501677,2.424240557
-4.352993691,0.849063865,1.562214513
-4.28556605,-0.569627332,1.154879914
-3.081241834,-0.808157922,1.00115933
-1.180930218,0.273220326,1.037739689
0.252733147,0.094087201,1.198447685
1.577645484,0.117725592,1.191146094
2.609083259,0.531233326,1.25355429
3.293201336,0.062435839,1.464559567
3.204432445,-0.010668776,1.668431074
2.975565581,-0.017794906,1.145311283
2.878595381,0.036724222,0.957951784
2.692617485,0.029936592,0.821090823
3.065402993,-0.256482592,0.816804568
2.68785549,0.137389841,0.866427269
2.499898145,-0.357573703,0.79767735
1.895225117,-1.364142778,0.576206659
1.790338399,-0.266600165,0.399320389
1.319286684,-0.179940428,0.411513807
1.077159749,0.323278276,0.403657925
1.145362364,0.250282241,0.50911269
1.012377006,0.179310393,0.556099471
1.620180629,0.053119796,0.574208866
