Y_US_all_obs,Pi_US_all_obs,R_US_all_obs
1.94E-05,-1.136734425,-0.886412892
-1.94E-05,-1.187304867,-0.897588897
0.146378117,-0.739361856,-0.80382801
-0.184934655,-1.013319296,-0.765432564
-0.413961197,-0.801729716,-0.657841047
-0.856257882,-0.577843897,-0.55200974
-1.589366505,-0.863907283,-0.520055031
-1.263596195,-0.221258016,-0.468001718
-1.596322599,0.154491914,-0.439326321
-0.6572088,-0.025941281,-0.409987445
-0.681900085,-0.057141137,-0.408480883
-1.286465236,-0.027841199,-0.391739732
-0.841776723,0.012313726,-0.335336656
-1.978076445,-0.393992572,-0.330646597
-3.977710606,0.301812146,-0.699930386
-2.94025887,-0.205239609,-0.913250073
-0.848566894,-0.933964496,-0.833556211
0.801054167,-0.772631601,-0.603783261
1.752629589,-0.703702003,-0.499761032
2.723508543,-0.704169449,-0.372923707
1.73561818,-0.36111944,-0.24932657
1.089635254,-0.272930421,-0.146385477
2.092504372,-0.785544098,-0.160551366
0.65033183,-0.277174181,-0.221507709
0.307693113,-0.819981772,-0.410343794
-1.391211224,-0.23625631,-0.56927596
-1.149323749,-0.675015636,-0.652085714
-0.1242337,-0.909853194,-0.709431631
0.87174437,-0.486005392,-0.730142134
1.680851159,-0.731703604,-0.541890568
2.150898949,-0.488205013,-0.530858313
1.7846862,-0.500446954,-0.490959569
1.709016374,-0.590319934,-0.430215121
0.896773288,-0.63426363,-0.410777817
0.832843225,-0.558681904,-0.400059902
0.787226916,-0.690683607,-0.400923842
1.57939807,-0.266697983,-0.311736397
0.961368288,-0.60555505,-0.279412826
1.591202871,-0.465804318,-0.276854666
1.256898189,-0.714820245,-0.270232616
1.335181252,-0.650626792,-0.278526064
0.375270049,-0.415886267,-0.250170925
1.264265424,-0.566766441,-0.15061164
1.038884296,-0.239613259,-0.124954
1.589766162,-0.579966522,-0.125823694
2.057755416,-0.350296727,-0.103009432
2.487550637,0.053293146,-0.006481054
1.125520681,0.025210198,0.080861835
0.413085154,-0.014809327,0.20429235
-0.186722564,-0.061376606,0.241820481
-0.61036148,-0.623287946,0.058540343
-1.591277765,-0.271784904,-0.146447363
-1.636043008,0.123790529,-0.170527352
-1.787551091,0.211874747,-0.102985264
-0.855201639,0.103509267,0.04968804
-0.380100313,0.093248823,0.344483822
-0.699310835,0.466357255,0.335682394
-1.242221561,0.35382242,0.329253363
-0.720763272,0.338709914,0.488623493
-1.286632302,0.691786021,0.914813038
-1.426614819,0.486729378,1.081079172
-2.423770396,0.645942003,1.071391067
-2.894724552,0.711040272,0.976863727
-2.974350211,0.514191527,0.811224127
-2.351523909,0.153738367,0.520369314
-3.395761329,0.564649171,0.23681379
-1.151003697,-0.03731577,-0.180652196
-1.041615309,0.036931577,-0.007278062
-0.707067363,0.111957831,0.219811025
-0.89077698,-0.141923912,0.036175046
0.25078413,-0.06666538,-0.25954768
1.495265006,-0.233167429,-0.070091711
1.413920048,-0.078484811,0.038595281
1.893393041,0.151767463,0.13828069
2.861216727,0.683202989,0.477813236
2.482204708,1.194633536,0.791438512
0.836570129,1.073580875,1.466515407
0.679090409,1.624690028,1.329492918
-0.907564379,2.053820503,1.164125333
-1.275629332,1.767238002,1.631058562
-2.490321183,1.89603086,1.834595111
-2.95745939,2.151328077,1.165606702
-3.933036439,1.240257427,0.416378197
-3.076699334,0.3212362,0.206486748
-1.535744148,1.108620463,0.389252062
-0.557029573,0.949363079,0.203475456
0.946417089,0.264358461,0.060458228
0.933747761,0.013317111,0.149998271
0.755812308,0.706851644,0.173230625
0.736580077,0.567825028,0.071368427
1.06635677,0.940531349,0.019291208
1.90644951,0.855531483,0.139738165
2.425768342,0.497716345,0.303650996
1.358842238,0.586215171,0.476251365
0.728530474,0.830420864,0.536088085
2.984646145,1.370736382,0.664031811
2.490355227,1.424298286,0.864775517
2.307097932,1.422247215,1.225966203
1.185209929,1.608761752,1.34820274
0.203670856,2.252602482,1.374033938
-0.079314627,2.295346476,1.559240647
-0.695793072,2.239417914,2.198187035
-1.121707405,2.991745244,2.535948774
-3.35261378,2.444795263,1.87373323
-3.491784149,0.98422648,1.283294853
-1.952751053,1.887206354,2.700397114
-0.604590842,1.853157141,2.896140228
-1.659265807,1.187240769,3.194878906
-0.919006869,1.870120157,3.149618186
-2.13414627,0.738374418,2.190262549
-3.433783437,0.008836585,2.351517528
-2.780424438,0.554501677,2.424240557
-2.866033481,0.849063865,1.562214513
-2.532274296,-0.569627332,1.154879914
-1.19410558,-0.808157922,1.00115933
0.654536325,0.273220326,1.037739689
1.90134148,0.094087201,1.198447685
2.923868893,0.117725592,1.191146094
3.572959681,0.531233326,1.25355429
3.833829119,0.062435839,1.464559567
3.354231413,-0.010668776,1.668431074
2.782374453,-0.017794906,1.145311283
2.380458473,0.036724222,0.957951784
1.935732444,0.029936592,0.821090823
2.047757712,-0.256482592,0.816804568
1.471943029,0.137389841,0.866427269
1.129508793,-0.357573703,0.79767735
0.446930211,-1.364142778,0.576206659
0.293464244,-0.266600165,0.399320389
-0.169025658,-0.179940428,0.411513807
-0.369681025,0.323278276,0.403657925
-0.257445752,0.250282241,0.50911269
-0.329248447,0.179310393,0.556099471
0.291128881,0.053119796,0.574208866
