Y_US_all_obs,Pi_US_all_obs,R_US_all_obs
1.94E-05,-1.136734425,-0.886412892
-1.94E-05,-1.187304867,-0.897588897
0.146392063,-0.739361856,-0.80382801
-0.184963728,-1.013319296,-0.765432564
-0.414213764,-0.801729716,-0.657841047
-0.857354092,-0.577843897,-0.55200974
-1.593049605,-0.863907283,-0.520055031
-1.270704994,-0.221258016,-0.468001718
-1.609482801,0.154491914,-0.439326321
-0.674525483,-0.025941281,-0.409987445
-0.704425646,-0.057141137,-0.408480883
-1.32047328,-0.027841199,-0.391739732
-0.886190897,0.012313726,-0.335336656
-2.050051172,-0.393992572,-0.330646597
-4.116720214,0.301812146,-0.699930386
-3.14389287,-0.205239609,-0.913250073
-1.081765837,-0.933964496,-0.833556211
0.581081949,-0.772631601,-0.603783261
1.583542656,-0.703702003,-0.499761032
2.653400745,-0.704169449,-0.372923707
1.744969979,-0.36111944,-0.24932657
1.161158262,-0.272930421,-0.146385477
2.281635771,-0.785544098,-0.160551366
0.89292596,-0.277174181,-0.221507709
0.584907836,-0.819981772,-0.410343794
-1.188167665,-0.23625631,-0.56927596
-1.018920066,-0.675015636,-0.652085714
-0.003955291,-0.909853194,-0.709431631
1.055809623,-0.486005392,-0.730142134
1.999432622,-0.731703604,-0.541890568
2.654656696,-0.488205013,-0.530858313
2.455575675,-0.500446954,-0.490959569
2.548736832,-0.590319934,-0.430215121
1.837322207,-0.63426363,-0.410777817
1.867249629,-0.558681904,-0.400059902
1.909320952,-0.690683607,-0.400923842
2.863989301,-0.266697983,-0.311736397
2.34959797,-0.60555505,-0.279412826
3.143630768,-0.465804318,-0.276854666
2.940210605,-0.714820245,-0.270232616
3.154967935,-0.650626792,-0.278526064
2.22932994,-0.415886267,-0.250170925
3.23680612,-0.566766441,-0.15061164
3.103110213,-0.239613259,-0.124954
3.799106267,-0.579966522,-0.125823694
4.459887406,-0.350296727,-0.103009432
5.127875233,0.053293146,-0.006481054
3.858691267,0.025210198,0.080861835
3.154289901,-0.014809327,0.20429235
2.486295986,-0.061376606,0.241820481
1.935353505,-0.623287946,0.058540343
0.707739762,-0.271784904,-0.146447363
0.39543318,0.123790529,-0.170527352
-0.052647844,0.211874747,-0.102985264
0.673875094,0.103509267,0.04968804
0.9922433,0.093248823,0.344483822
0.483419295,0.466357255,0.335682394
-0.306897358,0.35382242,0.329253363
0.023152896,0.338709914,0.488623493
-0.79159813,0.691786021,0.914813038
-1.193685182,0.486729378,1.081079172
-2.558193096,0.645942003,1.071391067
-3.448071804,0.711040272,0.976863727
-3.955469541,0.514191527,0.811224127
-3.690650519,0.153738367,0.520369314
-5.198025011,0.564649171,0.23681379
-3.168827458,-0.03731577,-0.180652196
-3.245275743,0.036931577,-0.007278062
-3.042608616,0.111957831,0.219811025
-3.359634135,-0.141923912,0.036175046
-2.211492428,-0.06666538,-0.25954768
-0.804952343,-0.233167429,-0.070091711
-0.708934475,-0.078484811,0.038595281
0.019533016,0.151767463,0.13828069
1.359590059,0.683202989,0.477813236
1.330868372,1.194633536,0.791438512
-0.130330097,1.073580875,1.466515407
-0.119828493,1.624690028,1.329492918
-1.711900946,2.053820503,1.164125333
-2.135359542,1.767238002,1.631058562
-3.547674151,1.89603086,1.834595111
-4.277845057,2.151328077,1.165606702
-5.636067511,1.240257427,0.416378197
-5.08467545,0.3212362,0.206486748
-3.688194722,1.108620463,0.389252062
-2.744117167,0.949363079,0.203475456
-1.103349831,0.264358461,0.060458228
-0.964679724,0.013317111,0.149998271
-0.998033576,0.706851644,0.173230625
-0.865649473,0.567825028,0.071368427
-0.341579034,0.940531349,0.019291208
0.790508208,0.855531483,0.139738165
1.66665533,0.497716345,0.303650996
0.848902849,0.586215171,0.476251365
0.398888215,0.830420864,0.536088085
3.074640534,1.370736382,0.664031811
2.9514152,1.424298286,0.864775517
3.118501944,1.422247215,1.225966203
2.221155003,1.608761752,1.34820274
1.346270432,2.252602482,1.374033938
1.12290345,2.295346476,1.559240647
0.482736343,2.239417914,2.198187035
-0.030899374,2.991745244,2.535948774
-2.608961185,2.444795263,1.87373323
-3.135959444,0.98422648,1.283294853
-1.838688891,1.887206354,2.700397114
-0.59434313,1.853157141,2.896140228
-1.86623591,1.187240769,3.194878906
-1.26648206,1.870120157,3.149618186
-2.751914568,0.738374418,2.190262549
-4.465902517,0.008836585,2.351517528
-4.163238046,0.554501677,2.424240557
-4.609138749,0.849063865,1.562214513
-4.597767093,-0.569627332,1.154879914
-3.431321817,-0.808157922,1.00115933
-1.540426302,0.273220326,1.037739689
-0.09420588,0.094087201,1.198447685
1.263631,0.117725592,1.191146094
2.343961266,0.531233326,1.25355429
3.087640887,0.062435839,1.464559567
3.057627247,-0.010668776,1.668431074
2.884234583,-0.017794906,1.145311283
2.840932141,0.036724222,0.957951784
2.705206441,0.029936592,0.821090823
3.132540281,-0.256482592,0.816804568
2.802893493,0.137389841,0.866427269
2.658661745,-0.357573703,0.79767735
2.087416437,-1.364142778,0.576206659
2.012684884,-0.266600165,0.399320389
1.56325426,-0.179940428,0.411513807
1.337479772,0.323278276,0.403657925
1.421266685,0.250282241,0.50911269
1.300318941,0.179310393,0.556099471
1.927302222,0.053119796,0.574208866
